ad_id,campaign_id,fb_campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion,CTR,CPC,Cost_per_conversion,Conversion_per_spend,Total_conversion_rate,Approved_conversion_rate
708746,916,103916,30-34,M,15,7350,1,1.429999948,2,1,0.013605442176870748,1.429999948,0.714999974,1.398601449459633,200.0,100.0
708749,916,103917,30-34,M,16,17861,2,1.820000023,2,0,0.011197581322434353,0.9100000115,0.9100000115,1.0989010850138874,100.0,0.0
708771,916,103920,30-34,M,20,693,0,0.0,1,0,0.0,0.0,0.0,0.0,,
708815,916,103928,30-34,M,28,4259,1,1.25,1,0,0.023479690068091103,1.25,1.25,0.8,100.0,0.0
708818,916,103928,30-34,M,28,4133,1,1.289999962,1,1,0.024195499637067505,1.289999962,1.289999962,0.7751938212847792,100.0,100.0
708820,916,103929,30-34,M,29,1915,0,0.0,1,1,0.0,0.0,0.0,0.0,,
708889,916,103940,30-34,M,15,15615,3,4.769999981,1,0,0.01921229586935639,1.5899999936666667,4.769999981,0.20964360670507937,33.33333333333333,0.0
708895,916,103941,30-34,M,16,10951,1,1.269999981,1,1,0.009131586156515388,1.269999981,1.269999981,0.7874015865831734,100.0,100.0
708953,916,103951,30-34,M,27,2355,1,1.5,1,0,0.042462845010615716,1.5,1.5,0.6666666666666666,100.0,0.0
708958,916,103952,30-34,M,28,9502,3,3.159999967,1,0,0.03157230056830141,1.0533333223333334,3.159999967,0.3164556995072905,33.33333333333333,0.0
708979,916,103955,30-34,M,31,1224,0,0.0,1,0,0.0,0.0,0.0,0.0,,
709023,916,103962,30-34,M,7,735,0,0.0,1,0,0.0,0.0,0.0,0.0,,
709038,916,103965,30-34,M,16,5117,0,0.0,1,0,0.0,0.0,0.0,0.0,,
709040,916,103965,30-34,M,16,5120,0,0.0,1,0,0.0,0.0,0.0,0.0,,
709059,916,103968,30-34,M,20,14669,7,10.28000021,1,1,0.0477196809598473,1.4685714585714287,10.28000021,0.09727626260427867,14.285714285714285,14.285714285714285
709105,916,103976,30-34,M,28,1241,0,0.0,1,1,0.0,0.0,0.0,0.0,,
709115,916,103978,30-34,M,30,2305,1,0.569999993,1,0,0.04338394793926247,0.569999993,0.569999993,1.7543859864573716,100.0,0.0
709124,916,103979,30-34,M,31,1024,0,0.0,1,1,0.0,0.0,0.0,0.0,,
709179,916,103988,35-39,M,15,4627,1,1.690000057,1,0,0.02161227577263886,1.690000057,1.690000057,0.5917159563740773,100.0,0.0
709183,916,103989,35-39,M,16,21026,4,4.630000114,2,1,0.019024065442785124,1.1575000285,2.315000057,0.43196543212871286,50.0,25.0
709320,916,104012,35-39,M,15,1422,0,0.0,1,1,0.0,0.0,0.0,0.0,,
709323,916,104012,35-39,M,15,7132,2,2.609999895,1,0,0.028042624789680313,1.3049999475,2.609999895,0.38314177786585696,50.0,0.0
709326,916,104013,35-39,M,16,12190,2,3.049999952,1,0,0.016406890894175553,1.524999976,3.049999952,0.32786885761891976,50.0,0.0
709327,916,104013,35-39,M,16,12193,2,3.059999943,1,1,0.01640285409661281,1.5299999715,3.059999943,0.32679739170831745,50.0,50.0
709328,916,104013,35-39,M,16,3332,0,0.0,1,1,0.0,0.0,0.0,0.0,,
709455,916,104034,35-39,M,7,559,0,0.0,1,0,0.0,0.0,0.0,0.0,,
709544,916,104049,35-39,M,29,7440,2,2.980000019,1,1,0.026881720430107527,1.4900000095,2.980000019,0.33557046765911447,50.0,50.0
709614,916,104061,40-44,M,16,19113,4,5.5200001,1,0,0.020928164076806362,1.380000025,5.5200001,0.18115941700798158,25.0,0.0
709756,916,104085,40-44,M,16,10976,2,1.690000057,1,1,0.018221574344023325,0.8450000285,1.690000057,0.5917159563740773,50.0,50.0
709761,916,104085,40-44,M,16,2861,0,0.0,1,0,0.0,0.0,0.0,0.0,,
709899,916,104108,40-44,M,15,1398,0,0.0,1,1,0.0,0.0,0.0,0.0,,
709901,916,104109,40-44,M,16,23817,7,8.470000148,1,1,0.02939077129781249,1.2100000211428572,8.470000148,0.1180637523644114,14.285714285714285,14.285714285714285
710045,916,104133,45-49,M,16,47224,12,15.82000017,1,0,0.025410808063696423,1.3183333475,15.82000017,0.06321112447876794,8.333333333333332,0.0
710088,916,104140,45-49,M,24,2283,1,1.470000029,1,0,0.043802014892685065,1.470000029,1.470000029,0.6802720954232035,100.0,0.0
710360,916,104185,45-49,M,21,2182,1,1.529999971,1,1,0.045829514207149404,1.529999971,1.529999971,0.6535947836302279,100.0,100.0
710477,916,104205,30-34,F,16,2654,0,0.0,1,1,0.0,0.0,0.0,0.0,,
710480,916,104205,30-34,F,16,57665,14,18.06999969,1,1,0.024278158328275384,1.2907142635714286,18.06999969,0.05534034405951891,7.142857142857142,7.142857142857142
710571,916,104220,30-34,F,32,3091,1,1.610000014,1,1,0.03235198964736331,1.610000014,1.610000014,0.6211180070213341,100.0,100.0
710617,916,104228,30-34,F,15,5014,1,1.190000057,1,0,0.01994415636218588,1.190000057,1.190000057,0.8403360942023888,100.0,0.0
710623,916,104229,30-34,F,16,38726,7,9.220000267,1,0,0.018075711408356142,1.3171428952857143,9.220000267,0.1084598667072902,14.285714285714285,0.0
710628,916,104230,30-34,F,18,1473,0,0.0,1,0,0.0,0.0,0.0,0.0,,
710682,916,104239,30-34,F,27,1186,0,0.0,1,0,0.0,0.0,0.0,0.0,,
710763,916,104252,30-34,F,15,5369,1,1.50999999,1,0,0.018625442354255912,1.50999999,1.50999999,0.6622516600149116,100.0,0.0
710836,916,104265,30-34,F,29,22221,7,9.430000067,1,1,0.03150173259529274,1.3471428667142857,9.430000067,0.10604453795281188,14.285714285714285,14.285714285714285
710867,916,104270,30-34,F,63,1185,0,0.0,1,0,0.0,0.0,0.0,0.0,,
710880,916,104272,30-34,F,65,13019,5,6.960000038,1,0,0.038405407481373374,1.3920000076,6.960000038,0.1436781601350905,20.0,0.0
710961,916,104285,35-39,F,25,2508,1,1.220000029,1,0,0.03987240829346093,1.220000029,1.220000029,0.8196721116635318,100.0,0.0
710968,916,104287,35-39,F,27,5864,2,2.799999952,1,1,0.034106412005457026,1.399999976,2.799999952,0.35714286326530625,50.0,50.0
711217,916,104328,35-39,F,20,2783,1,1.600000024,1,0,0.035932446999640676,1.600000024,1.600000024,0.6249999906250001,100.0,0.0
711623,916,104396,40-44,F,15,3812,1,1.129999995,2,1,0.026232948583420776,1.129999995,0.5649999975,1.7699115122562457,200.0,100.0
711764,916,104419,45-49,F,10,11199,4,5.730000019,1,1,0.035717474774533436,1.43250000475,5.730000019,0.17452006922934007,25.0,25.0
711785,916,104423,45-49,F,19,292,0,0.0,1,0,0.0,0.0,0.0,0.0,,
711877,916,104438,45-49,F,63,17572,7,9.379999995,1,0,0.03983610289096289,1.3399999992857143,9.379999995,0.10660980815917366,14.285714285714285,0.0
